id,type,frame,magnitude,map,path
vic_apollyon,ship,,1,normal,graphics/GlibMaps/Normals/vic_Apollyon_normal.png
vic_raum,ship,,1,normal,graphics/GlibMaps/Normals/vic_raum_normal.png
vic_oriax,ship,,1,normal,graphics/GlibMaps/Normals/vic_oriax_normal.png
vic_stolas,ship,,1,normal,graphics/GlibMaps/Normals/vic_stolas_normal.png
vic_raum_bounty,ship,,1,normal,graphics/GlibMaps/Normals/vic_raum_bounty_normal.png
vic_raum_weapon_alkonost,turret,,1,normal,graphics/GlibMaps/Normals/weapons/vic_alkonost_turret_base_normal.png
vic_raum_weapon_gagana_ultra,turret,,1,normal,graphics/GlibMaps/Normals/weapons/vic_gagana_ultra_base_normal.png
vic_raum_weapon_gagana_ultra,turretbarrel,,1,normal,graphics/GlibMaps/Normals/weapons/vic_gagana_ultra_barrel_normal.png
vic_raum_weapon_rokh,turret,,1,normal,graphics/GlibMaps/Normals/weapons/vic_rokh_launcher_normal.png
vic_raum_weapon_rakh,turret,,1,normal,graphics/GlibMaps/Normals/weapons/vic_rokh_launcher_normal.png
vic_raum_weapon_xl_laidlaw,turret,,1,normal,graphics/GlibMaps/Normals/weapons/vic_xl_laidlaw00_normal.png
vic_raum_weapon_strzyga,turret,,1,normal,graphics/GlibMaps/Normals/weapons/vic_strzyga_base_normal.png
vic_raum_weapon_strzyga,turretbarrel,,1,normal,graphics/GlibMaps/Normals/weapons/vic_strzyga_barrel_normal.png
vic_notorious_big_iron_buckshot,turret,0,1,normal,graphics/GlibMaps/Normals/weapons/vic_notorious_big_iron00_normal.png
vic_notorious_big_iron_buckshot,turret,1,1,normal,graphics/GlibMaps/Normals/weapons/vic_notorious_big_iron01_normal.png
vic_notorious_big_iron_buckshot,turret,2,1,normal,graphics/GlibMaps/Normals/weapons/vic_notorious_big_iron02_normal.png
vic_notorious_big_iron_buckshot,turret,3,1,normal,graphics/GlibMaps/Normals/weapons/vic_notorious_big_iron03_normal.png
vic_notorious_big_iron_buckshot,turret,4,1,normal,graphics/GlibMaps/Normals/weapons/vic_notorious_big_iron04_normal.png
vic_notorious_big_iron_buckshot,turret,5,1,normal,graphics/GlibMaps/Normals/weapons/vic_notorious_big_iron05_normal.png
vic_notorious_big_iron_buckshot,turret,6,1,normal,graphics/GlibMaps/Normals/weapons/vic_notorious_big_iron06_normal.png
vic_notorious_big_iron_buckshot,turret,7,1,normal,graphics/GlibMaps/Normals/weapons/vic_notorious_big_iron07_normal.png
vic_notorious_big_iron_buckshot,turret,8,1,normal,graphics/GlibMaps/Normals/weapons/vic_notorious_big_iron08_normal.png
vic_notorious_big_iron_buckshot,turret,9,1,normal,graphics/GlibMaps/Normals/weapons/vic_notorious_big_iron09_normal.png
vic_notorious_big_iron_buckshot,turret,10,1,normal,graphics/GlibMaps/Normals/weapons/vic_notorious_big_iron10_normal.png
vic_notorious_big_iron_buckshot,turret,11,1,normal,graphics/GlibMaps/Normals/weapons/vic_notorious_big_iron11_normal.png
vic_notorious_big_iron_buckshot,turret,12,1,normal,graphics/GlibMaps/Normals/weapons/vic_notorious_big_iron12_normal.png
vic_notorious_big_iron_buckshot,turret,13,1,normal,graphics/GlibMaps/Normals/weapons/vic_notorious_big_iron13_normal.png
vic_notorious_big_iron_buckshot,turret,14,1,normal,graphics/GlibMaps/Normals/weapons/vic_notorious_big_iron14_normal.png
vic_notorious_big_iron_buckshot,turret,15,1,normal,graphics/GlibMaps/Normals/weapons/vic_notorious_big_iron15_normal.png
vic_notorious_big_iron_buckshot,turret,16,1,normal,graphics/GlibMaps/Normals/weapons/vic_notorious_big_iron16_normal.png
vic_notorious_big_iron_buckshot,turret,17,1,normal,graphics/GlibMaps/Normals/weapons/vic_notorious_big_iron17_normal.png
vic_notorious_big_iron_buckshot,turret,18,1,normal,graphics/GlibMaps/Normals/weapons/vic_notorious_big_iron18_normal.png
